;tid;act;emotion;sentiment;text
0;2017-En-31583;sta;['anticipation', 'joy', 'optimism'];positive;Will be a lively evening at ot that one.
1;2017-En-30347;sug;['joy', 'optimism'];positive;@yoursecretsub1 Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.
2;2017-En-21907;oth;['joy', 'optimism', 'sadness'];negative;As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband
3;2017-En-41486;sta;['anticipation', 'joy', 'optimism'];neutral;@Batman_ofgotham Her golden brown hues met with those baby blues as her arms crossed over the breasts he had been gulking at. 'Let me guess-
4;2017-En-31517;sta;['joy', 'optimism'];positive;"Okay~ #deepbreathes ☺️ we can do this @sydneyswans 💪🏻🔴⚪️ #cheer #cheer &amp; see you on the other side peeps ❤️ #AFLCatsSwans #ProudlySydney"
5;2017-En-10322;exp;['anger', 'disgust', 'sadness'];negative;@Darren_Hammer amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of misery
6;2017-En-11173;exp;['anger', 'disgust', 'sadness'];negative;No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.
7;2017-En-20607;exp;['anger', 'disgust', 'sadness'];negative;Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep
8;2017-En-40958;exp;['disgust', 'pessimism', 'sadness'];negative;@yesnicksearcy @counterparty Although I don't expect a trumpie to understand the difference between real things and pretend things. #sad
9;2017-En-41355;sta;[];negative;@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.
10;2017-En-40820;sta;['disgust', 'joy', 'sadness'];positive;MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)
11;2017-En-11076;sug;['joy', 'optimism'];positive;Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD
12;2017-En-11203;sta;['anger', 'disgust'];negative;@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage
13;2017-En-10104;sta;['anger', 'disgust'];negative;@kingvee_ don't provoke me to anger
14;2017-En-21778;sta;['pessimism', 'sadness'];negative;Mom you remember when Narley died? You cried like a baby! #bully
15;2017-En-11532;exp;['anger', 'disgust'];negative;#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak
16;2017-En-40836;exp;['joy', 'love'];positive;im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary
17;2017-En-30684;exp;['anger', 'disgust', 'joy', 'optimism'];positive;@lilymooregrant u used to chirp me for drinking it u hoe
18;2017-En-41198;que;['disgust', 'fear', 'pessimism', 'sadness'];negative;Bojack Horseman: the saddest show ever written?? #depression #season1
19;2017-En-31016;sta;['joy', 'optimism'];positive;@daveweigel a laurel and hearty handshake
20;2017-En-31136;sta;['anticipation', 'joy', 'love', 'optimism'];positive;Skiving #Freshers2016 for a me day! #nails #sunbeds and #gym 😉💜👑 #priorities #student #studentnurse #pampered
21;2017-En-30817;sta;['anger', 'sadness'];negative;Seriously @marksandspencer I'm sick and grumpy and the only thing that's gonna cheer me up is ordering my xmas food, when's it going up? 😢
22;2017-En-40767;sta;['joy', 'optimism'];positive;I added Paul Walker on Xbox but he just spends all of his time on the dashboard.  #humor #funny
23;2017-En-40003;exp;['fear', 'sadness'];negative;My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression
24;2017-En-20315;que;['anticipation', 'disgust'];negative;Accrington Stanley? Who are they? Exactly. Things looking dire for West Ham despite the win. What's changed since March? #bbcfootball
25;2017-En-40474;exp;['anger', 'disgust'];negative;some people leave toilets in fucking grim states
26;2017-En-22210;exp;['anger', 'disgust'];negative;@Sami749263491 yeah whatever, whahibbi are #muslims just a sect, as you know,  #islam is synonymous with #rape and
27;2017-En-30406;sta;['joy', 'love', 'optimism'];positive;@nw_autonate \n\n*She held the back of his skull, smiling into the kiss.*
28;2017-En-31239;exp;['anger', 'disgust'];negative;@_BlueCouture The hilarity of you people not realising that racism is racism regardless of whether one uses choice words is hilarious.
29;2017-En-30248;sta;['joy', 'love'];positive;There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done
30;2017-En-41446;thr;['anger', 'joy'];negative;@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs
31;2017-En-20247;exp;['fear', 'pessimism', 'sadness'];negative;@dfkm1970 @tomddumba the struggle is real. Whoa! I worry for the younger generation 💔
32;2017-En-22021;sta;['anger', 'disgust', 'fear'];negative;They want as police state, they are fearful imbeciles..@interpretingall @mikefar1974 @MetalMilitia74 @Cmvazquez103
33;2017-En-20482;sug;['anger', 'disgust', 'sadness'];negative;a vote for #killary is like sticking a knife in a toaster #shocking #MakeAmericaGreatAgain
34;2017-En-20152;sta;['anger', 'disgust', 'fear', 'sadness'];negative;"#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !"
35;2017-En-10208;oth;['anger', 'disgust', 'sadness'];negative;@Austin4evaLEEDS fuming!
36;2017-En-10093;sta;['anger', 'disgust'];negative;Your twitter picture just makes me fume.
37;2017-En-11117;sta;['joy', 'sadness'];neutral;JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless
38;2017-En-20213;sug;['fear'];negative;Nawaz Sharif's UN should start #सत्य_बोध_यात्रा as after all his #UNGA speech has awaken the world about their role in sponsoring #terrorism
39;2017-En-11651;sta;['joy', 'pessimism', 'sadness'];negative;maps by the yeah yeah yeahs came on the radio today and i almost burst into tears
40;2017-En-20028;que;['fear', 'pessimism'];negative;I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened
41;2017-En-41391;sta;['joy', 'optimism'];positive;@Micky_A_Lawson Paddy McNair is our joint top scorer......yeah.....justlet that sink in haha
42;2017-En-30427;exp;[];negative;I wish there was a #glee version of @ShawnMendes Stitches. @GLEEonFOX #gleekforever
43;2017-En-31492;sta;['joy', 'love', 'optimism'];positive;@mywrldsbl I can be your wolf if you want. Hihi~ #breezy
44;2017-En-30207;sta;['anticipation', 'joy'];positive;@Nick_Offerman I'll be there!! Can't wait for all the #mirth!
45;2017-En-30495;sta;['joy', 'optimism', 'trust'];positive;So is cheerfulness, or a good temper, the more it is spent, the more remains. Ralph Waldo Emerson
46;2017-En-21073;sta;['fear', 'joy', 'optimism'];positive;@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt
47;2017-En-31577;exp;['optimism'];positive;Try to find the good in the negative. The negative can turn out to be good.\n #anxietyrelief  #openminded
48;2017-En-20837;exp;['anticipation', 'optimism'];positive;If you really care like you state @flyfrontier @FrontierCare then I would seriously address sensitivity training to your employees
49;2017-En-22124;sta;['fear', 'joy'];positive;#soywax limited edition horror candles going up @scentedscreams! Follow us for all the latest news!!
50;2017-En-30257;exp;['joy', 'optimism'];positive;It's better to be wetter than it is dry' - @RLevin91 certainly found that hilarious #GBBO
51;2017-En-30352;exp;['joy', 'optimism'];positive;15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga  #stretch
52;2017-En-40655;exp;['anticipation', 'sadness'];negative;@FatedDancer ~together.' Hermione  lowered her voice slightly, sounding somewhat  bitter, perhaps even  rueful. 'That would only get you~
53;2017-En-10693;sta;['anger', 'disgust', 'sadness'];negative;I can't even right now #bb18
54;2017-En-41471;exp;[];negative;Speech was bold coz it wasn't written by PM NS bt the expression/tone was his own dull n dim
55;2017-En-21575;sta;['fear'];negative;@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story
56;2017-En-30996;exp;['joy', 'optimism'];positive;During the day @JeffProbst is jovial. At #TribalCouncil he's a different,  darker fellow.  Still simply but smiles are few. #Survivor
57;2017-En-40847;exp;['sadness'];negative;Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv
58;2017-En-30193;sta;['joy'];positive;Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL
59;2017-En-10178;que;['anger', 'disgust'];negative;Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops
60;2017-En-31419;sta;['joy', 'optimism'];positive;Finally have all my braces on and I can't stop smiling 😊😊😊😊😊
61;2017-En-10875;sta;['anger', 'joy'];negative;@TrussElise Obama must be fuming.. lol
62;2017-En-11102;sta;['anger', 'sadness'];negative;@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff
63;2017-En-30833;sta;['joy', 'optimism'];positive;@Bluebelle89 @lsmith855 liking the optimism
64;2017-En-31052;sta;['joy', 'love'];positive;Every time I hear @jtkantor's organ kick in on the new @sayswhopodcast, I break into the goofiest smile.
65;2017-En-41090;que;['anticipation', 'fear', 'sadness'];negative;Don't get too close it's dark inside 🌫🌊
66;2017-En-40833;sta;['anticipation', 'disgust', 'pessimism'];negative;@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester
67;2017-En-30230;exp;['joy', 'optimism'];positive;@adamrodricks I like your optimism!
68;2017-En-40564;exp;['disgust', 'joy', 'optimism', 'sadness'];negative;@DinoHyogi Hakyeon takes all the attention happily, perching on Wonshik's shoulder to sulk when Jaehwan accidentally caused a tiny explosion
69;2017-En-40587;sta;['anticipation', 'joy', 'trust'];positive;@janhopis I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama
70;2017-En-30505;sta;['joy', 'love'];positive;I'm really hitting all flavors of my sparkling water rap. But you know what's tripping me out? These half French and Spanish flavors.
71;2017-En-30780;sta;['fear', 'joy', 'optimism'];negative;People always tell me that they don't expect me to have anxiety because I'm generally cheerful and don't act the way they expect me to.
72;2017-En-20594;req;['anger', 'disgust', 'fear'];negative;#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible
73;2017-En-11046;exp;['anger', 'disgust', 'joy'];negative;Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 #raging
74;2017-En-30188;sta;['joy', 'love', 'optimism'];positive;The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman
75;2017-En-31290;exp;['anger'];negative;"WHY TF DO BROKE BOYS KEEP TRYNA FIND GF's? GET UR FUCKIN $$$ RIGHT B4 I SMACK YO BITCHASS, she deserves 2be happy &amp; u don't deserve that ass"
76;2017-En-30550;que;['anticipation', 'fear', 'joy', 'sadness'];positive;will i ever get the nerve to quit the restaurant ??? find out tonite on glee!
77;2017-En-20862;oth;[];neutral;@GroundSwellCLE @ClevelandCNBC @KingJames @mavcarter @SpringHillEnt @boughb #revitalize #ClevelandHustles #daunting task, #hustle
78;2017-En-40846;oth;['anticipation', 'disgust', 'pessimism', 'sadness'];negative;Should of stayed in Dubai 😞
79;2017-En-31040;exp;['joy', 'optimism', 'sadness'];positive;A #smile can mean a thousand words, but it can also hide a thousand #problems. #Fact #TeamFollowBack
80;2017-En-20273;sta;['fear'];negative;@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway
81;2017-En-31002;sta;['anticipation', 'surprise'];positive;"imagine if teppu got animated by madhouse tho &gt;_&lt;"
82;2017-En-21653;exp;['disgust', 'fear'];negative;"@DatelineNBC this is a sight, sound &amp; smell to behold in person--still gives me the creeps to think about. #shudder"
83;2017-En-21837;sta;['anticipation', 'fear', 'joy'];negative;Getting ready to open the tastings at Whisky Shop Dufftown Autumn festival! #panic #murraymcdavid #whisky #drams
84;2017-En-21788;sta;['fear', 'pessimism', 'sadness'];negative;Last night my stomach was hurting and today I have a horrible headache. I can never win
85;2017-En-30126;sta;['anticipation', 'joy', 'love', 'optimism'];positive;I just really enjoy bright colors, like the colors you would see downtown Miami
86;2017-En-40989;exp;['pessimism', 'sadness'];negative;Going off reports on Sky, Stoke played ok tonight. Think i'll stay off the messageboard tonight though -it will be grim on there :/
87;2017-En-20306;exp;['optimism', 'pessimism'];positive;we shiver in the pause between words \nabandonment still fresh upon the tips of our tongues
88;2017-En-31229;exp;['anger', 'joy', 'surprise'];negative;When ya'll talkin about you know who I don't know who ya'll talkin bout, I'm on the new shit....chuckin up ma deuces......🔥🔥 #kanye #breezy
89;2017-En-10674;exp;['anger', 'joy', 'optimism'];positive;@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then!
90;2017-En-41030;que;['anticipation', 'optimism', 'trust'];negative;Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues
91;2017-En-40590;sug;['joy', 'optimism'];positive;Never switched up, stayed down this the same person since day one.
92;2017-En-41161;que;['sadness'];negative;So you're unhappy?
